Display Order,Indicator Label,Indicator_Latest_Value,Indicator_Latest_Year,Indicator Lower Value,Indicator Subcategory,Indicator_Target (Fact_Global_WWF_2030_Outcome_Indicators),Indicator Type Key,Indicator Unit,Indicator Upper Value,Indicator Value,Panel_Label_Upper,Practice Key,Practice Name,US_Indicator,Year
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.39,ENERGY,521,Climate & Energy,Yes,2000
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.65,ENERGY,521,Climate & Energy,Yes,2000
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,77.72,ENERGY,521,Climate & Energy,Yes,2000
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.12,ENERGY,521,Climate & Energy,Yes,2001
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.56,ENERGY,521,Climate & Energy,Yes,2001
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.1,ENERGY,521,Climate & Energy,Yes,2002
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,40,OUT2_CE_A,% of total energy consumption,,,ENERGY,521,Climate & Energy,Yes,2030
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,3,OUT2_CE_B,MJ/2011 USD PPP,,,ENERGY,521,Climate & Energy,Yes,2030
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,100,OUT2_CE_C,% of population with electricity access,,,ENERGY,521,Climate & Energy,Yes,2030
100200,"Renewable, Efficient, Universal, & Clean","574,204.00",2018,,Coal Plant Pipeline,0,OUT2_CE_D,Megawatts of capacity,,,ENERGY,521,Climate & Energy,Yes,2030
100200,"Renewable, Efficient, Universal, & Clean","574,204.00",2018,,Coal Plant Pipeline,,OUT2_CE_D,Megawatts of capacity,,1428129,ENERGY,521,Climate & Energy,Yes,2015
