Lower Bound +,Indicator Label,Lower Bound,Indicator Subcategory,Indicator Type Key,Indicator Unit,Upper Bound,Indicator Value,Upper Bound ,Lower Bound ,Upper Bound -,Panel,Panel Label,Panel_Label_Upper,Panel_Max_Year,Panel_Min_Year,Practice Goal,Practice Key,Practice Name,US_Indicator,Value_First_Last,Year
45.76096272,Global GHG Emissions: Three Scenarios,45.76096272,Current Policy Trajectory,GCR_CE_A,Gt CO2e,45.76096272,45.76096272,45.76096272,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,45.8,2010
47.02597431,Global GHG Emissions: Three Scenarios,47.02597431,Current Policy Trajectory,GCR_CE_A,Gt CO2e,47.02597431,47.02597431,47.02597431,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2011
47.58360699,Global GHG Emissions: Three Scenarios,47.58360699,Current Policy Trajectory,GCR_CE_A,Gt CO2e,47.58360699,47.58360699,47.58360699,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2012
48.25729704,Global GHG Emissions: Three Scenarios,48.25729704,Current Policy Trajectory,GCR_CE_A,Gt CO2e,48.25729704,48.25729704,48.25729704,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2013
48.89237286,Global GHG Emissions: Three Scenarios,48.89237286,Current Policy Trajectory,GCR_CE_A,Gt CO2e,48.89237286,48.89237286,48.89237286,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2014
52.2,Global GHG Emissions: Three Scenarios,52.2,Current Policy Trajectory,GCR_CE_A,Gt CO2e,53.2,53,53.2,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2020
52.9,Global GHG Emissions: Three Scenarios,52.9,Current Policy Trajectory,GCR_CE_A,Gt CO2e,56.7,55.1,56.7,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2025
55.7,Global GHG Emissions: Three Scenarios,55.7,Current Policy Trajectory,GCR_CE_A,Gt CO2e,60,58.6,60,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,58.6,2030
49,Global GHG Emissions: Three Scenarios,49,2 Degree C Pathway,GCR_CE_B,Gt CO2e,53,52.2,53,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2020
45.5,Global GHG Emissions: Three Scenarios,45.5,2 Degree C Pathway,GCR_CE_B,Gt CO2e,51.3,47.6,51.3,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2025
